name,street,city,state,zip
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adirondack Beauty School,108 Dix Ave,Glens Falls,NY,"""12801-0000"""
Adirondack Community College,640 Bay Rd,Queensbury,NY,"""12804"""
Adirondack Community College,640 Bay Rd,Queensbury,NY,"""12804"""
Adirondack Community College,640 Bay Rd,Queensbury,NY,"""12804"""
Adirondack Community College,640 Bay Rd,Queensbury,NY,"""12804"""
Adirondack Community College,640 Bay Rd,Queensbury,NY,"""12804"""
Adler Graduate School,1550 East 78th Street,Richfield,MN,"""55423"""
Adler University,17 North Dearborn Street,Chicago,IL,"""60602"""
Adler University,17 North Dearborn Street,Chicago,IL,"""60602"""
Adler University,17 North Dearborn Street,Chicago,IL,"""60602"""
Adler University,17 North Dearborn Street,Chicago,IL,"""60602"""
Adrian College,110 S Madison St,Adrian,MI,"""49221-2575"""
Adrian College,110 S Madison St,Adrian,MI,"""49221-2575"""
Adrian College,110 S Madison St,Adrian,MI,"""49221-2575"""
Adrian Dominican Montessori Teacher Education Institute,1257 E. Siena Heights Dr.,Adrian,MI,"""49221"""
Adrian's Beauty College of Turlock,1340 West Main,Turlock,CA,"""95380"""
"Adult & Community Education, Columbus City Schools",2323 Lexington Ave,Columbus,OH,"""43211"""
"Adult & Community Education, Columbus City Schools",2323 Lexington Ave,Columbus,OH,"""43211"""
Adult and Community Education,1426 19th Street,Vero Beach,FL,"""32960"""
Adult and Continuing Education - Cleveland Extension,4600 Detroit Avenue,Cleveland,OH,"""44102"""
Adult Community Education Center,2323 Lexingron Avenue,Columbus,OH,"""43211"""
Adult Community Education Center,2323 Lexingron Avenue,Columbus,OH,"""43211"""
Adult Vocational Services,147 Park St,Akron,OH,"""44308-1979"""
Advance Beauty College,10121 Westminster Ave,Garden Grove,CA,"""92643"""
Advance Beauty College,10121 Westminster Ave,Garden Grove,CA,"""92643"""
Advance Beauty College,202 East Main Street,Warrenton,MO,"""63383"""
Advance Beauty College Hannibal,23 Northport Plaza,Hannibal,MO,"""63401"""
Advance Beauty Techs Academy,"2191 Sampson Avenue, Suite 105",Corona,CA,"""92879"""
Advance Science Institute,3750 W 12 Ave,Hialeah,FL,"""33012"""
Advance Tech College,53 Barbosa Street,Bayamon,PR,"""00961"""
Advance Welding Institute,"2 Green Tree Drive, Suite 3",South Burlington,VT,"""05403"""
Advanced Barber College and Hair Design,2818 S International,Weslaco,TX,"""78596"""
Advanced Beauty College,3959 Beltline Road,Irving,TX,"""75038"""
"Advanced Beauty School of Cosmetology, Inc.","4001 South Decatur Boulevard, Suites 22,23,and 24",Las Vegas,NV,"""89103"""
Advanced Career Institute - Visalia,1728 North Kelsey Street,Visalia,CA,"""93291"""
Advanced Career Institute - Visalia,1728 North Kelsey Street,Visalia,CA,"""93291"""
Advanced College,13180 Paramount Blvd.,South Gate,CA,"""90280"""
Advanced College of Cosmetology,25 West Main Street,Waupun,WI,"""53963"""
Advanced Computing Institute,3470 Wilshire Blvd #1100,Los Angeles,CA,"""90010"""
Advanced Technical Centers,5600  NW 36 Street,Miami Spings,FL,"""33266"""
Advanced Technology Institute,5700 Southern Blvd Ste 100,Virginia Beach,VA,"""23462"""
Advanced Training Associates,"1810 Gillespie Way, Suite 104",El Cajon,CA,"""92020"""
Advanced Training Institute,5150 South Decatur Boulevard,Las Vegas,NV,"""89118"""
Advantage Career Institute,2 Meridian Road A-B,Eatontown,NJ,"""07724"""
Adventist Healthcare,9901 Medical Center Drive,Rockville,MD,"""20850"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Advocate Family Care Network,P.O. Box 776,Oak Lawn,IL,"""60454-0776"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
Advocate Health Care System,2025 Windsor Dr,Oak Brook,IL,"""60523"""
